Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 30-Aug-2023 at 13:49:06.
RAAW-GE Tower                                                                                      
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.77188E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.6217	 0.000000	 0.000000	 0.050649	 0.174824	 0.000000
 0.6488	 0.000000	 0.000000	 0.054961	 0.181234	 0.000000
 0.6758	 0.000000	 0.000000	 0.059422	 0.187113	 0.000000
 0.7028	 0.000000	 0.000000	 0.064019	 0.192458	 0.000000
 0.7298	 0.000000	 0.000000	 0.068746	 0.197788	 0.000000
 0.7568	 0.000000	 0.000000	 0.073591	 0.202308	 0.000000
 0.7839	 0.000000	 0.000000	 0.078537	 0.206062	 0.000000
 0.8109	 0.000000	 0.000000	 0.083564	 0.209101	 0.000000
 0.8379	 0.000000	 0.000000	 0.088662	 0.211845	 0.000000
 0.8649	 0.000000	 0.000000	 0.093817	 0.213899	 0.000000
 0.8919	 0.000000	 0.000000	 0.099014	 0.215337	 0.000000
 0.9189	 0.000000	 0.000000	 0.104238	 0.216124	 0.000000
 0.9460	 0.000000	 0.000000	 0.109477	 0.216538	 0.000000
 0.9730	 0.000000	 0.000000	 0.114722	 0.216693	 0.000000
 1.0000	 0.000000	 0.000000	 0.119969	 0.216716	 0.000000


 -------- Mode No.   3  (freq = 0.32533E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000003	 0.002174	 0.000000	 0.000000	 0.000000
 0.0104	 0.000030	 0.006432	 0.000000	 0.000000	 0.000000
 0.0174	 0.000083	 0.010572	 0.000000	 0.000000	 0.000000
 0.0244	 0.000162	 0.014594	 0.000000	 0.000000	 0.000000
 0.0313	 0.000265	 0.018497	 0.000000	 0.000000	 0.000000
 0.0383	 0.000393	 0.022282	 0.000000	 0.000000	 0.000000
 0.0453	 0.000543	 0.025948	 0.000000	 0.000000	 0.000000
 0.0522	 0.000716	 0.029496	 0.000000	 0.000000	 0.000000
 0.0592	 0.000911	 0.032926	 0.000000	 0.000000	 0.000000
 0.0662	 0.001127	 0.036238	 0.000000	 0.000000	 0.000000
 0.0731	 0.001363	 0.039432	 0.000000	 0.000000	 0.000000
 0.0801	 0.001619	 0.042508	 0.000000	 0.000000	 0.000000
 0.0870	 0.001893	 0.045467	 0.000000	 0.000000	 0.000000
 0.0940	 0.002186	 0.048308	 0.000000	 0.000000	 0.000000
 0.1010	 0.002496	 0.051033	 0.000000	 0.000000	 0.000000
 0.1079	 0.002823	 0.053858	 0.000000	 0.000000	 0.000000
 0.1149	 0.003168	 0.056561	 0.000000	 0.000000	 0.000000
 0.1219	 0.003529	 0.059143	 0.000000	 0.000000	 0.000000
 0.1288	 0.003906	 0.061603	 0.000000	 0.000000	 0.000000
 0.1358	 0.004298	 0.063942	 0.000000	 0.000000	 0.000000
 0.1399	 0.004535	 0.065264	 0.000000	 0.000000	 0.000000
 0.1497	 0.005123	 0.068256	 0.000000	 0.000000	 0.000000
 0.1567	 0.005555	 0.070232	 0.000000	 0.000000	 0.000000
 0.1636	 0.005999	 0.072088	 0.000000	 0.000000	 0.000000
 0.1706	 0.006455	 0.073824	 0.000000	 0.000000	 0.000000
 0.1776	 0.006921	 0.075441	 0.000000	 0.000000	 0.000000
 0.1845	 0.007396	 0.076940	 0.000000	 0.000000	 0.000000
 0.1915	 0.007881	 0.078322	 0.000000	 0.000000	 0.000000
 0.1985	 0.008373	 0.079586	 0.000000	 0.000000	 0.000000
 0.2054	 0.008874	 0.080826	 0.000000	 0.000000	 0.000000
 0.2124	 0.009382	 0.081950	 0.000000	 0.000000	 0.000000
 0.2194	 0.009896	 0.082958	 0.000000	 0.000000	 0.000000
 0.2263	 0.010417	 0.083850	 0.000000	 0.000000	 0.000000
 0.2333	 0.010943	 0.084623	 0.000000	 0.000000	 0.000000
 0.2403	 0.011473	 0.085279	 0.000000	 0.000000	 0.000000
 0.2472	 0.012007	 0.085814	 0.000000	 0.000000	 0.000000
 0.2507	 0.012275	 0.086038	 0.000000	 0.000000	 0.000000
 0.3203	 0.017650	 0.084239	 0.000000	 0.000000	 0.000000
