Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 23-Apr-2024 at 12:57:09.
IEA15 tower                                                                                        
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.24429E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.1776	 0.006357	 0.075042	 0.000000	 0.000000	 0.000157
 0.1845	 0.006832	 0.077342	 0.000000	 0.000000	 0.000163
 0.1915	 0.007322	 0.079584	 0.000000	 0.000000	 0.000170
 0.1985	 0.007825	 0.081767	 0.000000	 0.000000	 0.000176
 0.2054	 0.008343	 0.084060	 0.000000	 0.000000	 0.000182
 0.2124	 0.008874	 0.086308	 0.000000	 0.000000	 0.000188
 0.2194	 0.009420	 0.088509	 0.000000	 0.000000	 0.000194
 0.2263	 0.009979	 0.090663	 0.000000	 0.000000	 0.000200
 0.2333	 0.010551	 0.092769	 0.000000	 0.000000	 0.000206
 0.2403	 0.011137	 0.094827	 0.000000	 0.000000	 0.000213
 0.2472	 0.011735	 0.096835	 0.000000	 0.000000	 0.000219
 0.2507	 0.012038	 0.097820	 0.000000	 0.000000	 0.000222
 0.3203	 0.018710	 0.114774	 0.000000	 0.000000	 0.000284
 0.3797	 0.025119	 0.125118	 0.000000	 0.000000	 0.000336
 0.4248	 0.030279	 0.129689	 0.000000	 0.000000	 0.000376
 0.4596	 0.034347	 0.130700	 0.000000	 0.000000	 0.000407
 0.4866	 0.037504	 0.129772	 0.000000	 0.000000	 0.000431
 0.5137	 0.040619	 0.127175	 0.000000	 0.000000	 0.000455
 0.5407	 0.043645	 0.122489	 0.000000	 0.000000	 0.000479
 0.5677	 0.046531	 0.115622	 0.000000	 0.000000	 0.000503
 0.5947	 0.049221	 0.106283	 0.000000	 0.000000	 0.000526
 0.6217	 0.051641	 0.093376	 0.000000	 0.000000	 0.000550
 0.6488	 0.053717	 0.077697	 0.000000	 0.000000	 0.000574
 0.6758	 0.055376	 0.059051	 0.000000	 0.000000	 0.000598
 0.7028	 0.056546	 0.037207	 0.000000	 0.000000	 0.000622
 0.7298	 0.057111	 0.009134	 0.000000	 0.000000	 0.000646
 0.7568	 0.056963	-0.021732	 0.000000	 0.000000	 0.000670
 0.7839	 0.056034	-0.055372	 0.000000	 0.000000	 0.000694
 0.8109	 0.054257	-0.091767	 0.000000	 0.000000	 0.000718
 0.8379	 0.051494	-0.136849	 0.000000	 0.000000	 0.000742
 0.8649	 0.047601	-0.185125	 0.000000	 0.000000	 0.000766
 0.8919	 0.042500	-0.236625	 0.000000	 0.000000	 0.000789
 0.9189	 0.036198	-0.284196	 0.000000	 0.000000	 0.000813
 0.9460	 0.028718	-0.333969	 0.000000	 0.000000	 0.000837
 0.9730	 0.020006	-0.385906	 0.000000	 0.000000	 0.000861
 1.0000	 0.010011	-0.439989	 0.000000	 0.000000	 0.000885


